小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
望京新城,2017.07.25 ,750万,58916,799,136,4,41,23,2404,2室1厅1厨2卫,中楼层,26,127.3,平层,99.04,塔楼,西,1999,精装,钢混结构,暂无数据,三梯八户,70年,有,101101317403,商品房,2017-03-11,普通住宅,暂无数据,共有,750,58916,2017-07-25,448,35193,2015-11-30
北京华侨城1号院,2017.07.25 ,1230万,71918,1299,44,1,17,14,1354,3室1厅1厨2卫,中楼层,32,171.03,暂无数据,133.99,板塔结合,南 北,2010,精装,钢混结构,集中供暖,两梯两户,70年,有,101101690810,商品房,2017-06-11,普通住宅,满五年,非共有,1230,71918,2017-07-25
丽都东镇,2017.07.25 ,27万,9548,27,16,0,0,0,暂无数据,车位,地下室,0,28.28,暂无数据,暂无数据,板楼,南,未知,其他,钢混结构,自供暖,暂无数据,50年,有,101101796261,商品房,2017-07-09,车库,暂无数据,暂无数据,27,9548,2017-07-25
北苑家园望春园,2017.07.25 ,445万,58879,475,51,3,14,39,2680,1室1厅1厨1卫,低楼层,25,75.58,平层,59.89,塔楼,西南,2006,精装,钢混结构,集中供暖,三梯十户,70年,有,101101662199,私产,2017-06-04,普通住宅,满五年,非共有,445,58879,2017-07-25
筑华年,2017.07.25 ,888万,65309,999,75,4,49,63,4813,3室2厅1厨2卫,低楼层,27,135.97,暂无数据,105.29,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯两户,70年,有,101101572166,商品房,2017-05-11,普通住宅,满两年,非共有,888,65309,2017-07-25
高原街4号院,2017.07.25 ,438万,76108,455,221,6,47,37,2681,2室1厅1厨1卫,低楼层,6,57.55,跃层,39.8,板楼,南 北,1991,简装,混合结构,集中供暖,一梯三户,70年,无,101100968792,已购公房,2016-12-16,普通住宅,暂无数据,非共有,438,76108,2017-07-25
慧谷时空,2017.07.25 ,698万,62551,780,99,1,6,34,3445,2室1厅1厨2卫,中楼层,24,111.59,平层,94.35,塔楼,西,2002,精装,钢混结构,集中供暖,三梯八户,70年,有,101101486732,商品房,2017-04-18,普通住宅,满五年,非共有,698,62551,2017-07-25
朝阳无限,2017.07.25 ,703万,63684,720,16,0,5,25,639,2室2厅1厨1卫,高楼层,21,110.39,暂无数据,86.67,板塔结合,南,2004,精装,钢混结构,集中供暖,两梯七户,70年,有,101101793817,商品房,2017-07-09,普通住宅,暂无数据,共有,703,63684,2017-07-25
高家园三区,2017.07.25 ,360万,50449,410,123,6,49,281,12411,3室1厅1厨1卫,顶层,16,71.36,平层,暂无数据,塔楼,西北,1986,精装,钢混结构,集中供暖,两梯四户,70年,有,101101383896,已购公房,2017-03-24,普通住宅,满五年,非共有,360,50449,2017-07-25
首开畅心园,2017.07.24 ,268万,39587,275,16,4,5,46,3670,2室1厅1厨1卫,高楼层,29,67.7,暂无数据,53.01,塔楼,南,2010,精装,钢混结构,自供暖,三梯九户,70年,有,101101794748,一类经济适用房,2017-07-09,普通住宅,满五年,非共有,268,39587,2017-07-24
望京花园西区,2017.07.24 ,600万,70365,645,11,0,7,20,788,2室1厅1厨1卫,中楼层,26,85.27,平层,52.16,塔楼,西北,2000,精装,钢混结构,集中供暖,两梯八户,70年,有,101101812937,已购公房,2017-07-14,普通住宅,满五年,非共有,600,70365,2017-07-24
高家园二区,2017.07.24 ,410万,58041,423,65,2,6,10,443,2室1厅1厨1卫,顶层,6,70.64,平层,60,板楼,南 北,1988,精装,混合结构,集中供暖,一梯两户,70年,无,101101606699,商品房,2017-05-21,普通住宅,满五年,非共有,410,58041,2017-07-24
富力城A区,2017.07.24 ,740万,108680,780,110,5,147,98,5470,1室1厅1厨1卫,高楼层,28,68.09,平层,54.03,板塔结合,南,2008,精装,钢混结构,集中供暖,两梯十二户,70年,有,101101440795,私产,2017-04-06,普通住宅,满五年,非共有,740,108680,2017-07-24
弘善家园,2017.07.24 ,380万,47914,390,35,1,0,21,2022,2室1厅1厨1卫,高楼层,27,79.31,暂无数据,66.73,塔楼,西南,2009,简装,钢混结构,自供暖,三梯十四户,70年,有,101101720016,二类经济适用房,2017-06-20,普通住宅,满两年,非共有,380,47914,2017-07-24
东大桥路,2017.07.24 ,600万,89593,635,62,3,30,1,23,2室1厅1厨1卫,高楼层,18,66.97,暂无数据,暂无数据,塔楼,西南,1987,其他,钢混结构,集中供暖,两梯八户,70年,有,101101615718,央产房,2017-05-24,普通住宅,满五年,非共有,600,89593,2017-07-24
广播大院,2017.07.24 ,368万,42697,370,16,2,3,16,871,2室1厅1厨1卫,高楼层,6,86.19,暂无数据,66.49,板楼,南 北,2002,简装,混合结构,集中供暖,一梯两户,70年,无,101101796008,已购公房,2017-07-09,普通住宅,满五年,非共有,368,42697,2017-07-24
嘉铭桐城C区,2017.07.24 ,990万,77435,1080,50,0,28,48,7270,3室1厅1厨1卫,高楼层,29,127.85,暂无数据,108.22,塔楼,西南,2003,其他,钢混结构,自供暖,三梯八户,70年,有,101101664050,商品房,2017-06-05,普通住宅,满五年,非共有,990,77435,2017-07-24
惠新南里2号院,2017.07.24 ,532万,76284,555,112,2,12,76,3768,3室1厅1厨1卫,中楼层,14,69.74,暂无数据,69.74,板塔结合,西南 北,1989,简装,钢混结构,集中供暖,两梯八户,70年,有,101101427445,已购公房,2017-04-03,普通住宅,满五年,非共有,532,76284,2017-07-24
丰和园,2017.07.24 ,1330万,82960,1600,82,5,121,73,14076,3室1厅1厨2卫,底层,26,160.32,暂无数据,127.6,板楼,南 北,2010,精装,钢混结构,集中供暖,两梯两户,70年,有,101101543526,商品房,2017-05-03,普通住宅,满五年,非共有,1330,82960,2017-07-24
炫特嘉园三期,2017.07.24 ,294万,71936,310,51,1,6,53,2473,1室0厅1厨1卫,高楼层,25,40.87,平层,29.24,板塔结合,北,2006,精装,钢混结构,集中供暖,两梯七户,70年,有,101101658885,商品房,2017-06-04,普通住宅,暂无数据,非共有,294,71936,2017-07-24,150,36702,2016-02-25
京棉新城,2017.07.24 ,502万,57781,535,16,1,18,31,1749,2室1厅1厨1卫,顶层,28,86.88,平层,72.03,塔楼,西,2008,精装,钢混结构,集中供暖,三梯六户,70年,有,101101793386,二类经济适用房,2017-07-09,普通住宅,满五年,非共有,502,57781,2017-07-24
世纪村西区,2017.07.24 ,745万,63562,819,62,1,23,26,2574,3室1厅1厨2卫,高楼层,22,117.21,平层,80.58,塔楼,西北,1996,其他,钢混结构,集中供暖,两梯八户,70年,有,101101612755,已购公房,2017-05-23,普通住宅,满五年,非共有,745,63562,2017-07-24
电子城小区,2017.07.24 ,435万,62717,470,20,0,42,58,1969,2室1厅1厨1卫,高楼层,25,69.36,暂无数据,暂无数据,塔楼,南,2001,精装,钢混结构,集中供暖,四梯八户,70年,有,101101777158,已购公房,2017-07-05,普通住宅,满五年,非共有,435,62717,2017-07-24
后现代城,2017.07.24 ,608万,75062,630,7,0,8,0,暂无数据,2室2厅1厨1卫,中楼层,28,81,暂无数据,63.27,塔楼,西北,2007,精装,钢混结构,集中供暖,四梯十二户,70年,有,101101829453,商品房,2017-07-18,普通住宅,满五年,非共有,608,75062,2017-07-24
北京新天地,2017.07.24 ,545万,54192,560,27,2,26,95,5682,2室2厅1厨1卫,中楼层,28,100.57,暂无数据,76.69,板塔结合,东南,2008,精装,钢混结构,集中供暖,两梯三户,70年,有,101101746274,商品房,2017-06-27,普通住宅,满五年,共有,545,54192,2017-07-24
天居园,2017.07.24 ,901万,64956,960,10,0,7,15,949,2室1厅1厨2卫,高楼层,32,138.71,暂无数据,111.18,塔楼,西南,2008,精装,钢混结构,自供暖,四梯九户,70年,有,101101816487,商品房,2017-07-15,普通住宅,满五年,非共有,901,64956,2017-07-24
炫特嘉园二期,2017.07.24 ,286万,70392,312,17,1,3,31,1037,1室0厅1厨1卫,中楼层,28,40.63,暂无数据,30.14,塔楼,北,2004,精装,钢混结构,集中供暖,四梯十四户,70年,有,101101788352,商品房,2017-07-08,普通住宅,满五年,非共有,286,70392,2017-07-24
弘善家园,2017.07.24 ,450万,56363,460,119,7,191,311,21883,2室1厅1厨1卫,高楼层,18,79.84,平层,64.19,板塔结合,南 北,2012,简装,钢混结构,自供暖,两梯四户,70年,有,101101397350,二类经济适用房,2017-03-27,普通住宅,满两年,非共有,450,56363,2017-07-24
卡布其诺,2017.07.24 ,480万,81439,483,2,0,2,8,244,1室1厅1厨1卫,高楼层,9,58.94,暂无数据,47.96,板楼,南,2005,精装,钢混结构,集中供暖,一梯四户,70年,有,101101850155,商品房,2017-07-23,普通住宅,满五年,非共有,480,81439,2017-07-24
北京新天地,2017.07.24 ,662万,54929,700,60,2,140,98,7116,3室2厅1厨2卫,高楼层,28,120.52,平层,95.46,板塔结合,西南,2007,精装,钢混结构,集中供暖,两梯四户,70年,有,101101621814,私产,2017-05-26,普通住宅,满五年,非共有,662,54929,2017-07-24
安翔里小区,2017.07.24 ,610万,72550,630,96,2,66,31,797,2室1厅1厨1卫,中楼层,14,84.08,暂无数据,84.08,板楼,南 北,2001,简装,混合结构,集中供暖,一梯两户,70年,有,101101494118,央产房,2017-04-20,普通住宅,满五年,非共有,610,72550,2017-07-24
青年汇佳园,2017.07.24 ,436万,78151,445,15,0,17,59,2412,1室1厅1厨1卫,中楼层,20,55.79,平层,43.57,塔楼,西北,2006,精装,钢混结构,自供暖,两梯十二户,70年,有,101101797020,商品房,2017-07-09,普通住宅,满五年,共有,436,78151,2017-07-24
松榆西里,2017.07.24 ,366万,61752,385,61,2,71,76,3880,2室1厅1厨1卫,中楼层,6,59.27,平层,41.8,板楼,南 北,1992,简装,混合结构,集中供暖,一梯三户,70年,无,101101615677,已购公房,2017-05-24,普通住宅,暂无数据,非共有,366,61752,2017-07-24
北苑家园茉藜园,2017.07.24 ,545万,49148,570,12,0,66,105,7148,2室1厅1厨2卫,高楼层,25,110.89,平层,87.25,塔楼,东南,2003,精装,钢混结构,集中供暖,三梯八户,70年,有,101101807357,商品房,2017-07-12,普通住宅,满五年,非共有,545,49148,2017-07-24
电子城小区,2017.07.24 ,495万,51365,565,133,6,59,78,7610,2室1厅1厨1卫,高楼层,22,96.37,暂无数据,80.28,塔楼,东南,2004,精装,钢混结构,集中供暖,三梯八户,70年,有,101101327328,一类经济适用房,2017-03-13,普通住宅,满五年,非共有,495,51365,2017-07-24
观音惠园,2017.07.24 ,435万,48339,460,49,1,6,43,2589,2室1厅1厨1卫,高楼层,6,89.99,暂无数据,80.23,板楼,南 北,2006,简装,混合结构,自供暖,一梯两户,70年,无,101101664119,二类经济适用房,2017-06-05,普通住宅,满五年,非共有,435,48339,2017-07-24
呼家楼北街,2017.07.24 ,475万,65051,490,117,4,141,159,12488,3室1厅1厨1卫,低楼层,16,73.02,平层,73.02,塔楼,西北,1987,简装,钢混结构,集中供暖,两梯七户,70年,有,101101407132,私产,2017-03-29,普通住宅,满五年,共有,475,65051,2017-07-24
南湖东园二区,2017.07.24 ,407万,68984,450,109,2,47,63,3839,1室1厅1厨1卫,高楼层,20,59,平层,暂无数据,塔楼,西南,2000,简装,钢混结构,集中供暖,两梯八户,70年,有,101101437955,已购公房,2017-04-06,普通住宅,暂无数据,非共有,407,68984,2017-07-24
地杰长安驿,2017.07.24 ,558万,84559,610,140,3,7,52,4624,1室1厅1厨1卫,中楼层,30,65.99,平层,52.46,塔楼,东,2009,精装,钢混结构,集中供暖,六梯十八户,70年,有,101101290038,商品房,2017-03-06,普通住宅,满五年,非共有,558,84559,2017-07-24
枣营北里,2017.07.24 ,463万,77399,470,26,0,8,47,1572,2室1厅1厨1卫,低楼层,18,59.82,暂无数据,40.96,塔楼,东南,1992,简装,钢混结构,集中供暖,两梯八户,70年,有,101101751447,央产房,2017-06-28,普通住宅,满五年,非共有,463,77399,2017-07-24
京通苑,2017.07.24 ,420万,48713,429,47,1,104,172,10011,2室1厅1厨1卫,低楼层,24,86.22,暂无数据,68.7,塔楼,东南 南,2003,简装,混合结构,集中供暖,两梯十户,70年,有,101101674581,商品房,2017-06-08,普通住宅,满五年,非共有,420,48713,2017-07-24
朝阳园,2017.07.24 ,655万,67736,665,14,0,7,0,暂无数据,2室1厅1厨1卫,低楼层,29,96.7,平层,70.76,塔楼,西,2003,其他,钢混结构,集中供暖,三梯八户,70年,有,101101799558,商品房,2017-07-10,普通住宅,暂无数据,暂无数据,655,67736,2017-07-24
晶都国际,2017.07.24 ,314.5万,64540,325,65,5,6,64,2744,1室0厅1厨1卫,高楼层,21,48.73,平层,36.56,板塔结合,东北,2006,精装,钢混结构,自供暖,三梯二十四户,70年,有,101101604850,商品房,2017-05-21,普通住宅,满五年,非共有,314.5,64540,2017-07-24
安贞西里,2017.07.24 ,589万,84131,650,8,0,12,26,1133,3室1厅1厨1卫,中楼层,16,70.01,暂无数据,53.8,塔楼,南 北,1986,简装,钢混结构,集中供暖,两梯八户,70年,有,101101821830,商品房,2017-07-16,普通住宅,满五年,非共有,589,84131,2017-07-24
金蝉北里21号院,2017.07.23 ,280万,45902,330,72,2,13,50,3240,2室1厅1厨1卫,顶层,6,61,暂无数据,43.19,板楼,南 北,1996,简装,砖混结构,集中供暖,一梯三户,70年,无,101101579663,商品房,2017-05-13,普通住宅,满两年,共有,280,45902,2017-07-23,178,29181,2014-02-22
澳景花庭,2017.07.23 ,1030万,81026,1120,102,2,125,96,12549,3室1厅1厨2卫,底层,11,127.12,暂无数据,107.43,板楼,南 北,2004,简装,钢混结构,自供暖,一梯两户,70年,有,101101467381,私产,2017-04-13,普通住宅,满五年,非共有,1030,81026,2017-07-23
和平街十区,2017.07.23 ,515万,76161,540,16,0,71,0,暂无数据,3室1厅1厨1卫,中楼层,5,67.62,暂无数据,67.62,板楼,南 北,1976,其他,混合结构,暂无数据,一梯两户,70年,无,101101788418,商品房,2017-07-08,普通住宅,暂无数据,非共有,515,76161,2017-07-23
珠江罗马嘉园西区,2017.07.23 ,825万,67447,920,23,1,34,53,2636,3室2厅1厨2卫,中楼层,9,122.32,暂无数据,100.98,板塔结合,南 北,2004,精装,钢混结构,集中供暖,一梯两户,70年,有,101101761855,商品房,2017-07-01,普通住宅,满两年,非共有,825,67447,2017-07-23,暂无价格,其他公司成交,2015-03
核桃园北里,2017.07.23 ,382万,65988,400,47,1,2,30,3381,2室2厅1厨1卫,地下室,6,57.89,暂无数据,暂无数据,板楼,南 北,1995,其他,混合结构,集中供暖,一梯两户,70年,无,101101672274,已购公房,2017-06-07,普通住宅,满五年,非共有,382,65988,2017-07-23
双惠小区,2017.07.23 ,397万,46217,415,91,8,5,57,2691,2室1厅1厨1卫,顶层,6,85.9,暂无数据,77.02,板楼,南 北,2004,精装,砖混结构,自供暖,一梯两户,70年,无,101101511778,商品房,2017-04-24,普通住宅,满两年,非共有,397,46217,2017-07-23,229,26659,2014-03-01
农光南路,2017.07.23 ,323万,53807,330,8,0,19,64,1565,2室1厅1厨1卫,顶层,18,60.03,暂无数据,41,塔楼,南,1998,简装,钢混结构,集中供暖,两梯十户,70年,有,101101821273,已购公房,2017-07-16,普通住宅,暂无数据,非共有,323,53807,2017-07-23
亚奥观典,2017.07.23 ,360万,64355,380,102,1,32,23,1503,1室0厅1厨1卫,中楼层,5,55.94,暂无数据,37.21,板楼,北,2007,精装,钢混结构,集中供暖,两梯三十三户,70年,有,101101469318,商品房,2017-04-13,公寓,满五年,非共有,360,64355,2017-07-23
九龙花园,2017.07.23 ,618万,52409,750,126,1,94,95,24581,2室1厅1厨2卫,低楼层,22,117.92,平层,暂无数据,板塔结合,西南,1999,简装,钢混结构,集中供暖,两梯九户,70年,有,101101363600,商品房,2017-03-20,普通住宅,满五年,共有,618,52409,2017-07-23
高家园五区,2017.07.23 ,350万,40855,430,73,4,10,18,2650,2室1厅1厨1卫,中楼层,6,85.67,暂无数据,73,板楼,东南,1993,精装,混合结构,集中供暖,一梯两户,70年,无,101101573896,商品房,2017-05-12,普通住宅,暂无数据,非共有,350,40855,2017-07-23,258,30116,2016-02-28
裘马都,2017.07.23 ,750万,99774,780,14,0,1,16,910,1室1厅1厨1卫,低楼层,21,75.17,暂无数据,58.4,塔楼,南,2008,精装,钢混结构,集中供暖,两梯八户,70年,有,101101797682,商品房,2017-07-10,普通住宅,满五年,非共有,750,99774,2017-07-23
世华泊郡,2017.07.23 ,25.8万,8063,32,72,0,3,1,1100,车位,地下室,0,32,暂无数据,12.64,板塔结合,南,2012,其他,钢混结构,集中供暖,暂无数据,50年,有,101101579210,商品房,2017-05-13,车库,暂无数据,非共有,25.8,8063,2017-07-23
惠新里小区,2017.07.23 ,303万,74631,320,54,2,8,121,4607,2室1厅1厨1卫,中楼层,5,40.6,暂无数据,28.58,板楼,南 北,1973,精装,混合结构,集中供暖,一梯三户,70年,无,101101642660,商品房,2017-05-31,普通住宅,暂无数据,非共有,303,74631,2017-07-23
华威西里,2017.07.23 ,400万,58115,420,53,2,18,81,6475,3室1厅1厨1卫,中楼层,22,68.83,暂无数据,52.6,塔楼,东北,1990,简装,钢混结构,集中供暖,两梯八户,70年,有,101101644082,商品房,2017-05-31,普通住宅,满五年,非共有,400,58115,2017-07-23
劲松五区,2017.07.23 ,285万,51269,310,42,4,9,99,4735,3室1厅1厨1卫,顶层,6,55.59,暂无数据,暂无数据,板楼,西南,1981,简装,钢混结构,暂无数据,一梯三户,70年,无,101101690906,商品房,2017-06-11,普通住宅,满五年,非共有,285,51269,2017-07-23
天籁轩,2017.07.23 ,215万,27952,231,109,0,16,383,29487,1室0厅0厨0卫,高楼层,6,76.92,暂无数据,55.77,塔楼,南,2009,简装,钢混结构,自供暖,一梯四户,70年,有,101101437942,商品房,2017-04-06,普通住宅,满五年,非共有,215,27952,2017-07-23
北苑家园茉藜园,2017.07.23 ,436万,63428,460,11,0,8,0,暂无数据,1室1厅1厨1卫,低楼层,18,68.74,暂无数据,53.02,板塔结合,南,2005,精装,钢混结构,集中供暖,一梯三户,70年,有,101101807355,商品房,2017-07-12,普通住宅,满五年,非共有,436,63428,2017-07-23
都会华庭,2017.07.23 ,880万,68212,920,47,0,14,43,4211,3室1厅1厨2卫,高楼层,30,129.01,暂无数据,102.65,塔楼,南,2001,精装,钢混结构,集中供暖,三梯十户,70年,有,101101671990,私产,2017-06-07,普通住宅,满五年,非共有,880,68212,2017-07-23
富力阳光美园,2017.07.23 ,453万,51256,478,5,0,4,17,661,2室1厅1厨1卫,高楼层,20,88.38,暂无数据,67.88,塔楼,南 北,2010,精装,钢混结构,自供暖,两梯四户,70年,有,101101831773,限价商品房,2017-07-18,普通住宅,满五年,非共有,453,51256,2017-07-23
凯旋城,2017.07.23 ,565万,94498,600,35,2,18,25,1787,1室1厅1厨1卫,高楼层,18,59.79,暂无数据,49.48,板塔结合,南,2007,精装,钢混结构,集中供暖,两梯三户,70年,有,101101714652,商品房,2017-06-18,普通住宅,满五年,非共有,565,94498,2017-07-23
康家园,2017.07.23 ,298万,68506,308,93,2,25,4,199,1室1厅1厨1卫,中楼层,6,43.5,暂无数据,暂无数据,板楼,南,未知,精装,混合结构,集中供暖,一梯三户,70年,无,101101502142,商品房,2017-04-22,普通住宅,满五年,非共有,298,68506,2017-07-23
劲松三区,2017.07.23 ,415万,62642,420,36,3,39,141,6085,3室1厅1厨1卫,低楼层,6,66.25,暂无数据,46.7,板楼,南 北,1980,精装,混合结构,集中供暖,一梯三户,70年,无,101101708976,商品房,2017-06-17,普通住宅,满五年,非共有,415,62642,2017-07-23
北京新天地,2017.07.23 ,511万,56753,540,70,5,177,87,5235,2室2厅1厨1卫,低楼层,27,90.04,平层,71.75,板塔结合,南,2009,简装,钢混结构,集中供暖,两梯四户,70年,有,101101585251,商品房,2017-05-15,普通住宅,满两年,非共有,511,56753,2017-07-23
融科橄榄城三期,2017.07.23 ,30万,8557,50,1,0,0,0,暂无数据,车位,地下室,1,35.06,暂无数据,暂无数据,板塔结合,东,2009,其他,钢混结构,暂无数据,暂无数据,50年,无,101101848888,商品房,2017-07-22,车库,暂无数据,暂无数据,30,8557,2017-07-23
华业玫瑰郡,2017.07.23 ,595万,76557,680,11,0,3,19,1137,1室1厅1厨1卫,中楼层,14,77.72,暂无数据,61.29,板塔结合,南,2008,简装,钢混结构,集中供暖,一梯四户,70年,有,101101805737,商品房,2017-07-12,普通住宅,满五年,非共有,595,76557,2017-07-23
融科橄榄城三期,2017.07.23 ,1350万,96698,1390,74,3,38,50,4843,3室2厅1厨2卫,中楼层,26,139.61,暂无数据,107.28,板塔结合,南 北,2009,精装,钢混结构,集中供暖,两梯三户,70年,有,101101568975,商品房,2017-05-10,普通住宅,满五年,共有,1350,96698,2017-07-23
高家园五区,2017.07.23 ,383万,55468,389,11,0,22,102,2993,3室1厅1厨1卫,底层,6,69.05,暂无数据,暂无数据,板楼,西南 东北,1991,精装,混合结构,集中供暖,一梯三户,70年,无,101101809073,私产,2017-07-13,普通住宅,满五年,非共有,383,55468,2017-07-23
马道口,2017.07.23 ,261万,71645,273,75,1,13,137,4512,1室0厅1厨1卫,顶层,6,36.43,暂无数据,暂无数据,板楼,南,1983,精装,混合结构,集中供暖,一梯四户,70年,无,101101565093,商品房,2017-05-09,普通住宅,满两年,非共有,261,71645,2017-07-23
石佛营西里小区,2017.07.23 ,270万,57252,285,42,2,55,203,8681,1室1厅1厨1卫,底层,6,47.16,暂无数据,36.28,板楼,南 北,1995,简装,混合结构,集中供暖,一梯两户,70年,无,101101691467,商品房,2017-06-12,普通住宅,满两年,非共有,270,57252,2017-07-23,暂无价格,其他公司成交,2014-12
金隅康惠园,2017.07.23 ,275万,40382,280,90,3,173,162,7103,2室1厅1厨1卫,高楼层,22,68.1,平层,55.12,塔楼,东南,2010,精装,钢混结构,集中供暖,两梯十户,70年,有,101101511415,限价商品房,2017-04-24,普通住宅,满五年,非共有,275,40382,2017-07-23
金泰先锋南区,2017.07.23 ,418万,61771,435,125,6,41,19,1524,1室0厅1厨1卫,中楼层,18,67.67,暂无数据,55.56,塔楼,东,2007,精装,钢混结构,集中供暖,两梯七户,70年,有,101101362509,商品房,2017-03-20,普通住宅,满两年,非共有,418,61771,2017-07-23,240,35467,2015-05-03
世纪东方城,2017.07.23 ,580万,60204,630,93,2,85,23,3511,2室2厅1厨1卫,高楼层,21,96.34,暂无数据,77.24,板塔结合,西,2006,简装,钢混结构,集中供暖,两梯五户,70年,有,101101500630,私产,2017-04-21,普通住宅,满五年,非共有,580,60204,2017-07-23
惠新里小区,2017.07.23 ,650万,86980,694,45,0,36,7,242,3室1厅1厨1卫,低楼层,6,74.73,暂无数据,53.21,板楼,南 北,1992,简装,混合结构,集中供暖,一梯两户,70年,无,101101677953,已购公房,2017-06-08,普通住宅,暂无数据,共有,650,86980,2017-07-23
南湖渠西里,2017.07.23 ,370万,68040,385,47,4,43,130,4624,2室1厅1厨1卫,中楼层,5,54.38,暂无数据,暂无数据,板楼,南 北,1988,精装,混合结构,集中供暖,一梯三户,70年,无,101101668507,商品房,2017-06-06,普通住宅,暂无数据,非共有,370,68040,2017-07-23
时代国际嘉园,2017.07.23 ,835万,87198,880,76,3,47,49,8124,2室1厅1厨1卫,低楼层,19,95.76,暂无数据,77.6,板楼,南 北,2006,精装,钢混结构,集中供暖,一梯五户,70年,有,101101561240,私产,2017-05-08,普通住宅,满五年,非共有,835,87198,2017-07-23
国展新座,2017.07.23 ,870万,75319,980,14,2,21,38,2735,2室2厅1厨2卫,中楼层,18,115.51,暂无数据,90.44,板塔结合,南 北,2003,精装,钢混结构,自供暖,两梯十户,70年,有,101101794095,私产,2017-07-09,普通住宅,满五年,非共有,870,75319,2017-07-23
首开常青藤二期,2017.07.23 ,639万,69967,639,105,3,57,10,1082,3室2厅1厨1卫,低楼层,6,91.33,暂无数据,80.06,板楼,南 北,2011,精装,钢混结构,自供暖,一梯两户,70年,有,101101452324,商品房,2017-04-09,普通住宅,满两年,非共有,639,69967,2017-07-23
富华家园,2017.07.23 ,525万,53079,550,13,4,16,32,1570,2室1厅1厨1卫,中楼层,22,98.91,暂无数据,81.27,板塔结合,西南,2004,简装,钢混结构,集中供暖,两梯八户,70年,有,101101798762,商品房,2017-07-10,普通住宅,满五年,非共有,525,53079,2017-07-23
安华里一区,2017.07.23 ,580万,88740,588,9,1,12,98,3904,3室1厅1厨1卫,底层,6,65.36,暂无数据,50,板楼,南 北,1988,简装,混合结构,集中供暖,一梯两户,70年,无,101101813663,已购公房,2017-07-14,普通住宅,满五年,非共有,580,88740,2017-07-23
西坝河东里,2017.07.23 ,383万,71429,399,23,1,50,153,6640,2室1厅1厨1卫,中楼层,6,53.62,暂无数据,50,板楼,南 北,1985,精装,混合结构,集中供暖,一梯两户,70年,无,101101757064,已购公房,2017-06-30,普通住宅,满五年,非共有,383,71429,2017-07-23
太阳公元,2017.07.23 ,1797万,131389,1850,210,5,67,131,11215,3室2厅1厨2卫,低楼层,25,136.77,平层,105.47,板楼,南 北,2011,精装,钢混结构,集中供暖,两梯两户,70年,有,101101000761,商品房,2016-12-25,普通住宅,满两年,共有,1797,131389,2017-07-23
柏阳景园,2017.07.22 ,248万,47537,265,18,2,14,58,2061,1室1厅1厨1卫,顶层,4,52.17,平层,46.1,板楼,东北,2000,精装,混合结构,自供暖,一梯两户,70年,无,101101778942,商品房,2017-07-05,普通住宅,满两年,非共有,248,47537,2017-07-22
定福庄西街,2017.07.22 ,450万,47359,490,32,1,30,29,1460,2室1厅1厨1卫,低楼层,6,95.02,暂无数据,70,板楼,南 北,2002,简装,混合结构,集中供暖,一梯两户,70年,无,101101721754,央产房,2017-06-21,普通住宅,满五年,非共有,450,47359,2017-07-22
霞光里30号院,2017.07.22 ,540万,64912,565,12,1,9,20,860,3室1厅1厨1卫,中楼层,6,83.19,暂无数据,暂无数据,板楼,东南 西北,1989,简装,混合结构,集中供暖,一梯三户,70年,无,101101803013,商品房,2017-07-11,普通住宅,满五年,非共有,540,64912,2017-07-22
朝阳新城五区,2017.07.22 ,410万,47892,465,42,0,18,52,4083,2室1厅1厨1卫,高楼层,6,85.61,暂无数据,76.5,板楼,南 北,2005,精装,混合结构,自供暖,一梯三户,70年,无,101101686825,一类经济适用房,2017-06-10,普通住宅,满五年,非共有,410,47892,2017-07-22
富力阳光美园,2017.07.22 ,455万,51366,460,3,0,5,9,293,2室1厅1厨1卫,中楼层,27,88.58,暂无数据,67.71,塔楼,南 北,2010,精装,钢混结构,自供暖,两梯四户,70年,有,101101838853,限价商品房,2017-07-20,普通住宅,满五年,非共有,455,51366,2017-07-22
住欣家园,2017.07.22 ,347万,38919,347,32,2,29,60,4729,3室1厅1厨1卫,低楼层,26,89.16,暂无数据,71.28,塔楼,东 北,2010,精装,钢混结构,自供暖,三梯十户,70年,有,101101722953,一类经济适用房,2017-06-21,普通住宅,满五年,共有,347,38919,2017-07-22
华发颐园,2017.07.22 ,340万,57028,380,109,3,6,6,3369,1室0厅1厨1卫,高楼层,19,59.62,暂无数据,41.72,板塔结合,西,2008,精装,钢混结构,集中供暖,八梯三十八户,70年,有,101101434517,商品房,2017-04-05,公寓,满五年,非共有,340,57028,2017-07-22
