城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
通州,梨园,47,22,340,49240元/平米,梨园小镇,2室1厅1厨1卫,中楼层 (共15层),69.05㎡,平层,55.81㎡,板塔结合,东,钢混结构,简装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-27,私产,2006-01-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离八通线梨园站533米
通州,梨园,9,7,408,45812元/平米,云景里南大门,2室2厅1厨2卫,高楼层 (共6层),89.06㎡,暂无数据,79.3㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2003-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
通州,梨园,13,14,388,47265元/平米,时尚街区东区,2室1厅1厨1卫,底层 (共20层),82.09㎡,平层,67.29㎡,塔楼,西北,钢混结构,精装,两梯十二户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2007-06-26,普通住宅,满五年,非共有,有抵押 100万元 业主自还,已上传房本照片,10,null
通州,梨园,52,44,495,47396元/平米,时尚街区东区,2室2厅1厨1卫,高楼层 (共13层),104.44㎡,暂无数据,87.78㎡,板塔结合,东南,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-07-26,私产,2007-01-18,普通住宅,满五年,非共有,有抵押 15万元 中国银行 客户偿还,已上传房本照片,6,null
通州,梨园,41,10,330,46064元/平米,云景西里南区,3室1厅1厨1卫,高楼层 (共6层),71.64㎡,暂无数据,60.25㎡,板楼,东 南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-30,私产,2009-03-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
通州,梨园,34,49,313,50688元/平米,时尚街区东区,1室1厅1厨1卫,中楼层 (共20层),61.75㎡,平层,50.62㎡,塔楼,西北,钢混结构,精装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-15,私产,2009-03-05,普通住宅,满五年,非共有,有抵押 40万元 中信银行 客户偿还,已上传房本照片,6,null
通州,梨园,41,82,470,49772元/平米,新城阳光,2室1厅1厨1卫,中楼层 (共15层),94.43㎡,平层,75.86㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-26,商品房,2009-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
通州,梨园,72,29,378,48919元/平米,时尚街区东区,2室1厅1厨1卫,底层 (共13层),77.27㎡,平层,64.94㎡,板塔结合,南 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-23,商品房,2007-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
通州,梨园,85,98,335,51098元/平米,时尚街区东区,1室0厅1厨1卫,中楼层 (共19层),65.56㎡,暂无数据,52.07㎡,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-28,私产,2008-08-03,普通住宅,满五年,非共有,有抵押 270000万元 客户偿还,已上传房本照片,8,null
通州,梨园,88,43,460,48713元/平米,新城阳光,2室1厅1厨1卫,低楼层 (共15层),94.43㎡,平层,75.86㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2010-01-09,普通住宅,满五年,非共有,有抵押 40万元 交通银行 客户偿还,已上传房本照片,6,null
通州,梨园,39,18,340,51972元/平米,梨花园,2室1厅1厨1卫,低楼层 (共6层),65.42㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,商品房,2009-08-24,普通住宅,满五年,非共有,有抵押 20万元 农业银行 客户偿还,已上传房本照片,0,null
通州,梨园,11,10,435,48625元/平米,云景里南大门,2室2厅1厨1卫,中楼层 (共6层),89.46㎡,暂无数据,79.19㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,私产,2004-12-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
通州,梨园,5,10,460,46540元/平米,站前巴黎,2室2厅1厨1卫,低楼层 (共6层),98.84㎡,暂无数据,85.51㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2011-09-09,普通住宅,满五年,共有,有抵押 90万元 工行 客户偿还,已上传房本照片,3,null
通州,梨园,19,17,385,49870元/平米,时尚街区东区,2室1厅1厨1卫,低楼层 (共13层),77.2㎡,暂无数据,63.01㎡,板塔结合,东 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2012-05-21,普通住宅,满五年,共有,有抵押 65万元,已上传房本照片,10,null
通州,梨园,33,23,349,44295元/平米,云景西里南区,2室1厅1厨1卫,高楼层 (共6层),78.79㎡,暂无数据,68.48㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,私产,2004-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
通州,梨园,36,38,489,43884元/平米,站前巴黎,2室1厅1厨1卫,中楼层 (共11层),111.43㎡,暂无数据,89.27㎡,板塔结合,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-08,私产,2007-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
通州,梨园,156,60,409,45465元/平米,幸福时光,2室1厅1厨1卫,低楼层 (共6层),89.96㎡,平层,80.55㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-01-02,私产,2011-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
