城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,玉泉路,242,152,645,79630元/平米,玉海园五里,2室1厅1厨1卫,低楼层 (共6层),81㎡,暂无数据,80㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-16,私产,2007-04-24,普通住宅,满五年,非共有,有抵押,已上传房本照片,0,null
海淀,玉泉路,220,123,553,68028元/平米,玉海园三里,2室1厅1厨1卫,顶层 (共10层),81.29㎡,平层,75㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-02-12,商品房,2003-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,92,38,510,76842元/平米,玉海园一里,2室1厅1厨1卫,中楼层 (共11层),66.37㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2012-03-21,普通住宅,满五年,共有,无抵押,已上传房本照片,8,null
海淀,玉泉路,28,23,540,62140元/平米,翠谷玉景,2室1厅1厨1卫,底层 (共6层),86.9㎡,暂无数据,77.2㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-18,一类经济适用房,2007-03-26,普通住宅,满五年,非共有,有抵押 20万元 农业银行 客户偿还,已上传房本照片,5,null
海淀,玉泉路,236,86,540,68216元/平米,玉海园二里,2室1厅1厨1卫,中楼层 (共6层),79.16㎡,暂无数据,54㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,私产,2004-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,玉泉路,26,10,570,93290元/平米,复兴路46号院,2室1厅1厨1卫,底层 (共16层),61.1㎡,暂无数据,45.84㎡,板塔结合,南 北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-20,央产房,2004-02-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,玉泉路,45,43,1280,85912元/平米,玉泉新城,4室2厅1厨2卫,中楼层 (共11层),148.99㎡,暂无数据,123.75㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-03,私产,2008-12-22,普通住宅,满五年,非共有,有抵押 200万元 中信银行 客户偿还,已上传房本照片,7,null
海淀,玉泉路,342,87,379,62428元/平米,地震局宿舍,2室1厅1厨1卫,中楼层 (共6层),60.71㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-16,商品房,2010-04-29,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,31,24,550,84720元/平米,复兴路46号院,2室1厅1厨1卫,中楼层 (共16层),64.92㎡,暂无数据,64.92㎡,板塔结合,南 北,钢混结构,毛坯,一梯七户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2016-04-22,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,3,null
海淀,玉泉路,65,13,698,68485元/平米,玉海园二里,4室2厅1厨2卫,顶层 (共6层),101.92㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-11,已购公房,2004-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,玉泉路,39,2,540,61574元/平米,翠谷玉景,2室1厅1厨1卫,高楼层 (共6层),87.7㎡,暂无数据,77.67㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-30,一类经济适用房,2005-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,165,42,610,60378元/平米,玉海园一里,2室1厅1厨1卫,中楼层 (共6层),101.03㎡,暂无数据,70㎡,板楼,西南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-03,私产,2002-01-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,玉泉路,55,46,640,72023元/平米,玉海园三里,2室1厅1厨1卫,中楼层 (共10层),88.86㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-01,一类经济适用房,2001-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,61,19,640,79950元/平米,玉海园五里,2室1厅1厨1卫,中楼层 (共5层),80.05㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,商品房,2009-06-15,普通住宅,满五年,非共有,有抵押 10万元 中国银行 业主自还,已上传房本照片,2,null
海淀,玉泉路,211,47,750,53381元/平米,玉海园五里,3室2厅1厨2卫,顶层 (共6层),140.5㎡,暂无数据,暂无数据,板楼,东 南 西,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-11,商品房,2009-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,28,30,820,77947元/平米,玉海园一里,3室1厅1厨1卫,中楼层 (共6层),105.2㎡,暂无数据,90㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-20,已购公房,2002-10-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,玉泉路,123,38,770,64554元/平米,玉海园三里,3室2厅1厨2卫,顶层 (共6层),119.28㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-27,私产,2004-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,玉泉路,196,42,290,63167元/平米,地震局宿舍,1室1厅1厨1卫,底层 (共6层),45.91㎡,暂无数据,暂无数据,板楼,东,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-23,商品房,2010-06-28,普通住宅,满五年,非共有,有抵押 40万元 建设银行 业主自还,已上传房本照片,9,null
海淀,玉泉路,82,17,810,61597元/平米,玉海园五里,3室2厅1厨2卫,顶层 (共6层),131.5㎡,跃层,暂无数据,板楼,东 南,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-15,商品房,2003-07-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,72,8,1800,80196元/平米,金隅山墅,4室2厅1厨3卫,顶层 (共3层),224.45㎡,暂无数据,194.58㎡,暂无数据,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-31,商品房,2010-12-07,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
海淀,玉泉路,18,22,790,72172元/平米,玉阜嘉园,2室2厅1厨2卫,低楼层 (共12层),109.46㎡,暂无数据,90.52㎡,板塔结合,东,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-07-02,私产,2005-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,玉泉路,78,39,628,79990元/平米,玉海园五里,2室1厅1厨1卫,中楼层 (共6层),78.51㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-20,商品房,2012-06-29,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
海淀,玉泉路,103,12,1300,132626元/平米,玉泉新城,3室2厅1厨2卫,底层 (共10层),98.02㎡,暂无数据,81.45㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-04-10,私产,2009-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,68,5,820,61502元/平米,玉海园三里,4室2厅1厨2卫,顶层 (共6层),133.33㎡,暂无数据,118.8㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-05,一类经济适用房,2002-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,46,22,840,77584元/平米,玉阜嘉园,2室1厅1厨1卫,低楼层 (共12层),108.27㎡,平层,89.53㎡,板塔结合,东 西,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-04-03,私产,2007-04-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,玉泉路,6,2,985,82489元/平米,玉阜嘉园,2室1厅1厨2卫,底层 (共12层),119.41㎡,暂无数据,101.32㎡,板塔结合,东 南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-21,私产,2005-04-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,25,10,690,69451元/平米,玉海园二里,3室1厅1厨1卫,低楼层 (共11层),99.35㎡,暂无数据,暂无数据,板塔结合,西 西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-27,私产,2002-09-09,普通住宅,满五年,非共有,有抵押 130万元 招商银行 业主自还,已上传房本照片,1,null
海淀,玉泉路,115,24,1120,77225元/平米,玉阜嘉园,3室2厅1厨2卫,顶层 (共12层),145.03㎡,暂无数据,123.06㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-04-03,私产,2003-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,157,104,668,79962元/平米,玉海园五里,3室1厅1厨1卫,顶层 (共6层),83.54㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-25,已购公房,2011-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,玉泉路,24,12,800,84935元/平米,玉阜嘉园,2室1厅1厨1卫,高楼层 (共12层),94.19㎡,平层,77.89㎡,板塔结合,西,钢混结构,简装,两梯三户,自供暖,有,70年,null,null,null,2017-04-04,私产,2006-10-18,普通住宅,满五年,非共有,有抵押 40万元 建设银行 业主自还,已上传房本照片,0,null
海淀,玉泉路,374,54,260,61292元/平米,玉泉路11号院,1室1厅1厨1卫,高楼层 (共7层),42.42㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-04-23,商品房,2012-05-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,191,27,330,72115元/平米,田村山南路20号院,2室1厅1厨1卫,中楼层 (共6层),45.76㎡,暂无数据,30.24㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-06,已购公房,2002-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,33,13,636,77467元/平米,玉海园二里,2室1厅1厨1卫,高楼层 (共6层),82.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-14,商品房,2012-10-17,普通住宅,满两年,非共有,暂无数据,已上传房本照片,5,null
海淀,玉泉路,46,15,1050,74941元/平米,玉阜嘉园,3室2厅1厨2卫,中楼层 (共12层),140.11㎡,暂无数据,117.63㎡,板塔结合,南 北,钢混结构,简装,两梯三户,自供暖,有,70年,null,null,null,2017-04-26,私产,2003-11-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,玉泉路,24,10,920,72338元/平米,玉阜嘉园,3室2厅1厨2卫,高楼层 (共12层),127.18㎡,暂无数据,105.17㎡,板塔结合,西,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-04,商品房,2011-01-21,普通住宅,满五年,非共有,有抵押 190万元 招商银行 客户偿还,已上传房本照片,3,null
海淀,玉泉路,85,22,1180,90104元/平米,玉泉新城,3室2厅1厨2卫,顶层 (共10层),130.96㎡,暂无数据,108.82㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-08,商品房,2013-02-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,47,13,990,75763元/平米,玉阜嘉园,3室2厅1厨1卫,顶层 (共12层),130.67㎡,暂无数据,112.42㎡,塔楼,南,钢混结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-04-12,私产,2003-11-11,普通住宅,满五年,非共有,有抵押 57万元 招商银行 客户偿还,已上传房本照片,0,null
海淀,玉泉路,42,16,1148,82182元/平米,玉阜嘉园,3室2厅1厨2卫,高楼层 (共12层),139.69㎡,暂无数据,117.27㎡,板塔结合,南 北,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-05-19,私产,2007-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,玉泉路,70,12,637,71686元/平米,玉海园三里,2室1厅1厨1卫,顶层 (共10层),88.86㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-11,一类经济适用房,2001-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
